Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package
BOOT_BUTTON,63.93,-2.45,180,BUTTON_CUSYOMV1,MYBUTTON
C1,156.07,-100.16,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,53.44,-2.97,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,96.69,-61.66,270,CPH3225A,CAPCP3225X100N
C1_BAT,117.83,-55.35,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,116.78,-71.93,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,130.62,-72.03,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,154.48,-100.14,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,130.84,-56.55,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,127.51,-73.4,90,100uF TANT,RCL_CT3528
C4,92.35,-78.51,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,158.06,-57.73,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,28.75,-2.89,270,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,161.07,-66.43,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C6,67.71,-3.29,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,67.39,-83.07,270,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,92.28,-67.37,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,23.76,-12.77,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,48.96,-2.45,180,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,121.14,-55.45,90,,ADAFRUIT_CHIP-LED0603
C_DELAY,51.47,-11.61,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,154.68,-62.23,0,USBLC6-2SC6Y,SOT95P280X145-6N
D10,22.72,-17.73,0,PGB1010603MR,DIOC1608X36N
D11,36,-79.63,90,PGB1010603MR,DIOC1608X36N
D12,40.18,-79.63,90,PGB1010603MR,DIOC1608X36N
D2,118.69,-72.22,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,86.36,-71.13,0,MBR0530,SOD3716X135N
D4,88.82,-82.12,0,MBR0530,SOD3716X135N
D5,88.84,-78.71,0,MBR0530,SOD3716X135N
D6,72.38,-85.83,180,PGB1010603MR,DIOC1608X36N
